app_id,name,description,image,developers,publishers,price,metacritic,genres,recommendations,release_date
1007040,EARTH DEFENSE FORCE 5,"Stand and fight for humanity. This arcade shooter takes place in the year 2022, as the Earth Defense Force fends off an all-out attack by unknown life forms. Become an EDF soldier, battle against endless hordes of immense enemies, and restore peace to the earth.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1007040/header.jpg?t=1652254042,['SANDLOT'],['D3PUBLISHER'],4999,76,['Action'],8598,"time.struct_time(tm_year=2019, tm_mon=7, tm_mday=11, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=192, tm_isdst=-1)"
770390,Draugen,"Draugen is a single-player, first-person Fjord Noir mystery set in 1920s Norway. Explore a forgotten coastal village in your search for your missing sister, accompanied by your independent and enigmatic young ward. Norwegian Game of the Year 2019.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/770390/header.jpg?t=1733409022,['Red Thread Games'],['Red Thread Games'],1999,73,"['Adventure', 'Indie']",1698,"time.struct_time(tm_year=2019, tm_mon=5, tm_mday=29, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=149, tm_isdst=-1)"
394310,Punch Club,"Train hard, fight crocodiles and find love. Earn your place in the Punch Club ranks, and discover who brutally murdered your father, in this choose your own adventure boxing management tycoon.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/394310/header.jpg?t=1733129168,['Lazy Bear Games'],['tinyBuild'],975,73,"['Indie', 'RPG', 'Strategy']",11037,"time.struct_time(tm_year=2016, tm_mon=1, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=8, tm_isdst=-1)"
30,Day of Defeat,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/30/header.jpg?t=1729702105,['Valve'],['Valve'],499,79,['Action'],4180,"time.struct_time(tm_year=2003, tm_mon=5, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=121, tm_isdst=-1)"
20920,The Witcher 2: Assassins of Kings Enhanced Edition,A time of untold chaos has come. Mighty forces clash behind the scenes in a struggle for power and influence. The Northern Kingdoms mobilize for war. But armies on the march are not enough to stop a bloody conspiracy...,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/20920/header.jpg?t=1729586898,['CD PROJEKT RED'],"['CD PROJEKT RED', '1C-SoftClub']",1999,88,['RPG'],75763,"time.struct_time(tm_year=2012, tm_mon=4, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=107, tm_isdst=-1)"
802890,Muv-Luv Alternative (マブラヴ オルタネイティヴ),Playtime's over. Time for despair. Experience the definitive version of a masterpiece in the Muv-Luv trilogy's thrilling conclusion. Note: therapy not included.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/802890/header.jpg?t=1733206962,['aNCHOR Inc.'],['aNCHOR Inc.'],3799,83,"['Adventure', 'Casual']",2673,"time.struct_time(tm_year=2018, tm_mon=2, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=59, tm_isdst=-1)"
112100,Avadon: The Black Fortress,"Avadon: The Black Fortress is an epic, Indie fantasy role-playing saga. You will serve the keep of Avadon, working as a spy and warrior to fight the enemies of your homeland. As a servant of the Black Fortress, your word is law. Use your power to crush a growing rebellion! (Or join it.)",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/112100/header.jpg?t=1724976738,['Spiderweb Software'],['Spiderweb Software'],999,75,"['Indie', 'RPG']",426,"time.struct_time(tm_year=2011, tm_mon=8, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=229, tm_isdst=-1)"
298030,Total Annihilation,What began as a conflict over the transfer of consciousness from flesh to machines escalated into a war which has decimated a million worlds. The Core and the Arm have all but exhausted the resources of a galaxy in their struggle for domination.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/298030/header.jpg?t=1726478823,['Cavedog Entertainment'],['Wargaming.net'],499,86,['Strategy'],3178,"time.struct_time(tm_year=2015, tm_mon=12, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=352, tm_isdst=-1)"
383870,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/383870/header.jpg?t=1732002557,['Campo Santo'],"['Panic', 'Campo Santo']",1950,81,"['Adventure', 'Indie']",74067,"time.struct_time(tm_year=2016, tm_mon=2, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=40, tm_isdst=-1)"
31810,Nancy Drew®: Last Train to Blue Moon Canyon,Catch this train — it’s your ticket to solving a century-old mystery!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/31810/header.jpg?t=1734461898,['HeR Interactive'],['HeR Interactive'],975,77,['Adventure'],315,"time.struct_time(tm_year=2009, tm_mon=10, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=283, tm_isdst=-1)"
